,district_id,total_rev,total_locrev,pta_rev,prop_taxes,sales_taxes,public_utility_taxes,income_taxes,other_taxes,total_salaries,salaries_instruction,salaries_teachers
6470,2505280.0,66497000,43469000,41528000,0,0,0,0,0,29622000,21780000,13081000
6471,2505340.0,346000,201000,199000,0,0,0,0,0,94000,70000,41000
6472,2505370.0,43036000,26087000,24930000,0,0,0,0,0,24124000,17619000,11574000
6473,2505400.0,12424000,6181000,5443000,0,0,0,0,0,6567000,4347000,2736000
6474,2505470.0,38186000,7470000,0,0,0,0,0,0,17485000,11008000,118000
6475,2505480.0,72062000,14429000,0,0,0,0,0,0,24735000,16289000,232000
6476,2505485.0,29014000,9146000,0,0,0,0,0,0,16202000,11806000,0
6477,2505490.0,35801000,2404000,339000,0,0,0,0,0,16121000,10981000,5759000
6478,2505500.0,43561000,25480000,0,0,0,0,0,0,22048000,14885000,10416000
6479,2505580.0,10130000,7728000,6894000,0,0,0,0,0,5028000,3391000,1871000
6480,2505610.0,8351000,4575000,4512000,0,0,0,0,0,4292000,3297000,2589000
6481,2505670.0,35592000,26072000,0,0,0,0,0,0,19230000,12695000,8347000
6482,2505730.0,54569000,33125000,0,0,0,0,0,0,28214000,18687000,12882000
6483,2505740.0,15373000,9602000,0,0,0,0,0,0,7563000,5317000,2714000
6484,2505760.0,1230000,908000,870000,0,0,0,0,0,529000,364000,225000
6485,2505790.0,42464000,27610000,25507000,0,0,0,0,0,23184000,18170000,11432000
6486,2505880.0,21584000,16418000,13742000,0,0,0,0,0,11859000,8538000,4539000
6487,2505940.0,7388000,5704000,4648000,0,0,0,0,0,4429000,2721000,1975000
6488,2505970.0,125180000,48052000,43606000,0,0,0,0,0,57841000,39230000,23017000
6489,2506000.0,2088000,1065000,0,0,0,0,0,0,1154000,643000,214000
6490,2506090.0,65773000,47709000,45254000,0,0,0,0,0,38505000,25865000,18406000
6491,2506150.0,21027000,11432000,10607000,0,0,0,0,0,9309000,5869000,3868000
6492,2506210.0,6372000,4992000,4609000,0,0,0,0,0,1938000,1302000,838000
6493,2506240.0,46827000,31035000,26940000,0,0,0,0,0,26888000,18406000,11064000
6494,2506270.0,114985000,17678000,13574000,0,0,0,0,0,56330000,36705000,18386000
6495,2506300.0,18136000,8764000,7041000,0,0,0,0,0,10119000,7035000,4472000
6496,2506330.0,54897000,40634000,38479000,0,0,0,0,0,33346000,23871000,16572000
6497,2506390.0,51705000,32036000,30007000,0,0,0,0,0,30088000,20335000,13593000
6498,2506420.0,22139000,15641000,14909000,0,0,0,0,0,11622000,7879000,5087000
6499,2506480.0,34442000,25521000,21884000,0,0,0,0,0,18850000,12579000,8245000
6500,2506510.0,35219000,23453000,0,0,0,0,0,0,16067000,10489000,7328000
6501,2506540.0,16263000,9147000,8926000,0,0,0,0,0,6707000,4795000,3909000
6502,2506630.0,4791000,3042000,2790000,0,0,0,0,0,2371000,1659000,1016000
6503,2506660.0,247653000,24531000,0,0,0,0,0,0,128650000,83039000,52621000
6504,2506690.0,15505000,10921000,9435000,0,0,0,0,0,7896000,5280000,3130000
6505,2506720.0,23429000,10223000,8809000,0,0,0,0,0,12815000,8564000,6200000
6506,2506750.0,16017000,11729000,10169000,0,0,0,0,0,8608000,6285000,3571000
6507,2506780.0,91739000,33679000,28668000,0,0,0,0,0,51025000,37003000,19864000
