,school_id,grad_rate_all,grad_rate_native,grad_rate_asian,grad_rate_black,grad_rate_hispanic,grad_rate_mixed,grad_rate_linc
310,10273001098.0,,,,,,,
311,10273001102.0,,,,,,,
312,10273001104.0,,,,,,,
313,10276001108.0,,,,,,,
314,10279001112.0,80.0,,,80.0,,,
315,10279001114.0,85.0,,,,,,
316,10282001119.0,85.0,,,,,,
317,10282001123.0,,,,,,,
318,10282001125.0,90.0,,,,,,
319,10285001126.0,,,,,,,
320,10288001802.0,81.0,,,85.0,,,
321,10291001142.0,,,,,,,
322,10294001147.0,85.0,,,,,,
323,10297001160.0,84.0,,,80.0,,,
324,10300001164.0,85.0,,,80.0,,,
325,10303001170.0,90.0,,,90.0,,,
326,10303001171.0,96.0,,,,,,
327,10303001174.0,90.0,,,,,,
328,10303001177.0,90.0,,,,,,
329,10303001187.0,90.0,,,,,,
330,10303001189.0,94.0,,,,,,
331,10303001803.0,,,,,,,
332,10303002191.0,96.0,,,,,,
333,10306201362.0,85.0,,,,,,
334,10306201367.0,80.0,,,,,,
335,10306201376.0,,,,,,,
336,10306201377.0,85.0,,,,,,
337,10306201591.0,85.0,,,,,,
338,10309002201.0,75.0,,,75.0,,,
339,10312001200.0,90.0,,,90.0,,,
340,10315001207.0,90.0,,,90.0,,,
341,10318001210.0,,,,,,,
342,10318001213.0,85.0,,,90.0,,,
343,10318001214.0,90.0,,,80.0,,,
344,10318001215.0,,,,,,,
345,10318001216.0,,,,,,,
346,10318001220.0,90.0,,,,,,
347,10318001226.0,,,,,,,
348,10321000038.0,,,,,,,
349,10321001229.0,85.0,,,80.0,,,
350,10321001234.0,90.0,,,,,,
351,10324001238.0,80.0,,,70.0,,,
352,10327001240.0,85.0,,,80.0,,,
353,10330001248.0,90.0,,,90.0,,,
354,10333001602.0,90.0,,,85.0,,,
355,10336001608.0,85.0,,,85.0,,,
356,10336001610.0,,,,,,,
357,10336002101.0,93.0,,,90.0,,,
358,10336002102.0,94.0,,,90.0,,,
359,10339000052.0,94.0,,,90.0,,,
360,10339001274.0,85.0,,,60.0,,,
361,10339001282.0,80.0,,,80.0,,,
362,10339001287.0,85.0,,,,,,
363,10339001291.0,84.0,,,75.0,,,
364,10339001702.0,,,,,,,
365,10339002153.0,90.0,,,,,,
366,10342001297.0,90.0,,,80.0,,,
367,10343001304.0,96.0,,,80.0,,,
368,10345000135.0,90.0,,,,,,
369,10345001308.0,85.0,,,,,,
370,10345001310.0,90.0,,,,,,
371,10345001311.0,90.0,,,,,,
372,10345001320.0,90.0,,,,,,
373,10348001335.0,90.0,,,,,,
374,10348001336.0,,,,,,,
375,10348001337.0,80.0,,,,,,
376,10348001338.0,,,,,,,
377,10348001339.0,,,,,,,
378,10351001780.0,80.0,,,80.0,,,
379,10354001355.0,,,,,,,
380,10358001356.0,,,,,,,
381,10358001357.0,85.0,,,,,,
382,10358001359.0,,,,,,,
383,10358001360.0,,,,,,,
384,20000100206.0,,,,,,,
385,20000100208.0,70.0,70.0,,,,,70.0
386,20000100209.0,,,,,,,
387,20000100210.0,,,,,,,
388,20000100211.0,,,,,,,
389,20000100212.0,,,,,,,
390,20000100213.0,,,,,,,
391,20000100214.0,,,,,,,
392,20000100215.0,,,,,,,
393,20000100318.0,30.0,30.0,,,,,30.0
394,20000100389.0,,,,,,,
395,20000100391.0,,,,,,,
396,20000100392.0,,,,,,,
397,20000100406.0,,,,,,,
398,20000100408.0,,,,,,,
399,20000100409.0,,,,,,,
400,20000100438.0,,,,,,,
401,20000100439.0,,,,,,,
402,20000100440.0,,,,,,,
403,20000100441.0,,,,,,,
404,20000100474.0,,,,,,,
405,20000100476.0,,,,,,,
406,20000100619.0,,,,,,,
407,20000100620.0,,,,,,,
408,20000300216.0,40.0,40.0,,,,,
409,20000300217.0,,,,,,,
410,20000300218.0,,,,,,,
411,20000300219.0,60.0,60.0,,,,,60.0
412,20000300220.0,,,,,,,
413,20000300222.0,,,,,,,
414,20000300410.0,,,,,,,
415,20000300411.0,,,,,,,
416,20000300412.0,,,,,,,
417,20000300413.0,,,,,,,
418,20000400579.0,,,,,,,
419,20000400623.0,,,,,,,
420,20000400624.0,,,,,,,
421,20000500582.0,60.0,60.0,,,,,60.0
422,20000600558.0,,,,,,,
423,20000700004.0,,,,,,,
424,20000700007.0,,,,,,,
425,20000700177.0,,,,,,,
426,20000700461.0,,,,,,,
427,20001000080.0,,,,,,,
428,20002000012.0,,,,,,,
429,20002000013.0,,,,,,,
430,20002000014.0,,,,,,,
431,20002000015.0,,,,,,,
432,20002000016.0,,,,,,,
433,20002000017.0,,,,,,,
434,20002000018.0,,,,,,,
435,20002000019.0,,,,,,,
436,20002000421.0,,,,,,,
437,20002000422.0,,,,,,,
438,20002000423.0,,,,,,,
439,20002000466.0,,,,,,,
440,20002000467.0,,,,,,,
441,20002000468.0,,,,,,,
442,20003000020.0,,,,,,,
443,20005000023.0,,,,,,,
444,20005000024.0,,,,,,,
445,20005000026.0,,,,,,,
446,20005000027.0,,,,,,,
447,20005000028.0,,,,,,,
448,20005000528.0,,,,,,,
449,20006000029.0,60.0,,,,,,
450,20007000036.0,,,,,,,
451,20007000039.0,,,,,,,
452,20007000398.0,,,,,,,
453,20009000038.0,,,,,,,
454,20009000160.0,,,,,,,
455,20010000434.0,,,,,,,
456,20010000510.0,,,,,,,
